Router located at x=8980, y=1247 with reach=138ft
Router located at x=7091, y=3605 with reach=114ft
Router located at x=4124, y=8874 with reach=136ft
Router located at x=5236, y=6416 with reach=168ft
Router located at x=4893, y=3433 with reach=79ft
Router located at x=2659, y=9601 with reach=194ft
Router located at x=1192, y=4205 with reach=68ft
Router located at x=1693, y=3642 with reach=102ft
Router located at x=2102, y=668 with reach=120ft
Router located at x=6012, y=5222 with reach=67ft
Router located at x=4695, y=1743 with reach=136ft
Router located at x=6909, y=5987 with reach=81ft
Router located at x=6009, y=4726 with reach=81ft
Router located at x=8806, y=5675 with reach=83ft
Router located at x=8643, y=2866 with reach=180ft
Router located at x=256, y=7233 with reach=109ft
Router located at x=5187, y=3475 with reach=161ft
Router located at x=3430, y=3477 with reach=152ft
Router located at x=7293, y=6180 with reach=186ft
Router located at x=8415, y=981 with reach=101ft
Router located at x=4008, y=7438 with reach=141ft
Router located at x=5198, y=8312 with reach=125ft
Router located at x=8701, y=9119 with reach=105ft
Router located at x=4165, y=8255 with reach=109ft
Router located at x=3757, y=3436 with reach=112ft
Router located at x=4050, y=3366 with reach=171ft
Router located at x=4991, y=692 with reach=77ft
Router located at x=6959, y=2356 with reach=52ft
Router located at x=4440, y=9482 with reach=136ft
Router located at x=6503, y=9890 with reach=198ft
Router located at x=5053, y=1125 with reach=113ft
Router located at x=1485, y=652 with reach=78ft
Router located at x=4901, y=2912 with reach=93ft
Router located at x=6241, y=5189 with reach=88ft
Router located at x=8885, y=7552 with reach=91ft
Router located at x=1846, y=6013 with reach=89ft
Router located at x=388, y=695 with reach=180ft
Router located at x=6610, y=2671 with reach=155ft
Router located at x=38, y=1458 with reach=180ft
Router located at x=6511, y=6984 with reach=98ft
Router located at x=9976, y=9843 with reach=130ft
Router located at x=3230, y=1688 with reach=114ft
Router located at x=4490, y=269 with reach=194ft
Router located at x=1383, y=5535 with reach=121ft
Router located at x=1407, y=146 with reach=195ft
Router located at x=4331, y=9196 with reach=186ft
Router located at x=8901, y=2142 with reach=165ft
Router located at x=3404, y=5495 with reach=142ft
Router located at x=3879, y=3423 with reach=132ft
Router located at x=3385, y=4600 with reach=111ft
Router located at x=3530, y=50 with reach=148ft
Router located at x=2934, y=5932 with reach=116ft
Router located at x=8259, y=1958 with reach=115ft
Router located at x=9520, y=376 with reach=110ft
Router located at x=7320, y=7938 with reach=96ft
Router located at x=1831, y=5732 with reach=107ft
Router located at x=1942, y=3253 with reach=197ft
Router located at x=8217, y=9753 with reach=122ft
Router located at x=363, y=5111 with reach=154ft
Router located at x=8454, y=8873 with reach=188ft
Router located at x=8203, y=583 with reach=158ft
Router located at x=1506, y=3647 with reach=131ft
Router located at x=2350, y=2152 with reach=57ft
Router located at x=5802, y=7178 with reach=113ft
Router located at x=32, y=644 with reach=104ft
Router located at x=8947, y=4228 with reach=182ft
Router located at x=2419, y=3599 with reach=66ft
Router located at x=8867, y=1991 with reach=116ft
Router located at x=5098, y=4063 with reach=54ft
Router located at x=1415, y=5616 with reach=133ft
Router located at x=3285, y=5452 with reach=69ft
Router located at x=5686, y=3945 with reach=174ft
Router located at x=4093, y=3287 with reach=89ft
Router located at x=6260, y=2684 with reach=56ft
Router located at x=4697, y=4438 with reach=142ft
Router located at x=7323, y=9233 with reach=177ft
Router located at x=9317, y=4464 with reach=118ft
Router located at x=5304, y=5712 with reach=71ft
Router located at x=5568, y=8610 with reach=89ft
Router located at x=462, y=3712 with reach=108ft
Router located at x=7984, y=433 with reach=92ft
Router located at x=6030, y=3869 with reach=57ft
Router located at x=0, y=6834 with reach=142ft
Router located at x=445, y=3759 with reach=182ft
Router located at x=2570, y=2960 with reach=62ft
Router located at x=6861, y=5581 with reach=154ft
Router located at x=4934, y=614 with reach=83ft
Router located at x=4971, y=5861 with reach=174ft
Router located at x=7844, y=4540 with reach=147ft
Router located at x=6006, y=7262 with reach=135ft
Router located at x=8904, y=6149 with reach=60ft
Router located at x=1260, y=9012 with reach=65ft
Router located at x=4578, y=9059 with reach=122ft
Router located at x=7458, y=8331 with reach=119ft
Router located at x=453, y=5343 with reach=62ft
Router located at x=5908, y=2960 with reach=165ft
Router located at x=3998, y=326 with reach=168ft
Router located at x=5557, y=4224 with reach=126ft
Router located at x=8113, y=5399 with reach=86ft
Router located at x=8707, y=4061 with reach=55ft
Router located at x=5750, y=8540 with reach=61ft
Router located at x=5029, y=1061 with reach=61ft
Router located at x=2726, y=3448 with reach=169ft
Router located at x=3975, y=2514 with reach=60ft
Router located at x=2159, y=5818 with reach=105ft
Router located at x=3918, y=249 with reach=140ft
Router located at x=1995, y=6908 with reach=128ft
Router located at x=738, y=9299 with reach=65ft
Router located at x=5302, y=8082 with reach=65ft
Router located at x=848, y=8858 with reach=130ft
Router located at x=5268, y=6845 with reach=58ft
Router located at x=1861, y=4019 with reach=88ft
Router located at x=3209, y=5061 with reach=166ft
Router located at x=2096, y=7583 with reach=148ft
Router located at x=9807, y=8458 with reach=125ft
Router located at x=208, y=1058 with reach=180ft
Router located at x=6476, y=2721 with reach=141ft
Router located at x=9200, y=5696 with reach=98ft
Router located at x=8832, y=6039 with reach=89ft
Router located at x=8776, y=8945 with reach=56ft
Router located at x=8355, y=63 with reach=103ft
Router located at x=4881, y=971 with reach=188ft
Router located at x=8862, y=908 with reach=194ft
Router located at x=3684, y=4586 with reach=194ft
Router located at x=5309, y=7992 with reach=149ft
Router located at x=6035, y=1258 with reach=186ft
Router located at x=4159, y=332 with reach=58ft
Router located at x=6941, y=9213 with reach=160ft
Router located at x=5374, y=5487 with reach=58ft
Router located at x=5777, y=6782 with reach=119ft
Router located at x=6219, y=3847 with reach=59ft
Router located at x=7935, y=8907 with reach=118ft
Router located at x=9552, y=3278 with reach=146ft
Router located at x=967, y=8158 with reach=136ft
Router located at x=9103, y=9973 with reach=87ft
Router located at x=5587, y=8323 with reach=197ft
Router located at x=5667, y=1893 with reach=163ft
Router located at x=2858, y=9376 with reach=118ft
Router located at x=4787, y=9779 with reach=132ft
Router located at x=1685, y=5832 with reach=156ft
Router located at x=9651, y=4713 with reach=65ft
Router located at x=6609, y=113 with reach=68ft
Router located at x=2478, y=5968 with reach=52ft
Router located at x=2373, y=7420 with reach=77ft
Router located at x=3603, y=5071 with reach=126ft
Router located at x=7565, y=8453 with reach=92ft
Router located at x=8053, y=4497 with reach=191ft
Router located at x=1316, y=8383 with reach=194ft
Router located at x=1341, y=5322 with reach=106ft
Router located at x=4528, y=5946 with reach=199ft
Router located at x=2737, y=6050 with reach=158ft
Router located at x=3320, y=5492 with reach=83ft
Router located at x=1709, y=4766 with reach=116ft
Router located at x=5113, y=6542 with reach=107ft
Router located at x=4566, y=7604 with reach=53ft
Router located at x=782, y=8073 with reach=85ft
Router located at x=2437, y=3964 with reach=147ft
Router located at x=8300, y=9819 with reach=64ft
Router located at x=4339, y=382 with reach=57ft
Router located at x=3155, y=1362 with reach=50ft
Router located at x=4683, y=3243 with reach=53ft
Router located at x=28, y=7434 with reach=190ft
Router located at x=9877, y=1954 with reach=115ft
Router located at x=3211, y=7648 with reach=111ft
Router located at x=725, y=9599 with reach=94ft
Router located at x=3537, y=6174 with reach=121ft
Router located at x=1143, y=5922 with reach=76ft
Router located at x=6216, y=6743 with reach=172ft
Router located at x=3880, y=7632 with reach=92ft
Router located at x=5652, y=2701 with reach=169ft
Router located at x=3407, y=9721 with reach=105ft
Router located at x=3293, y=6395 with reach=61ft
Router located at x=7483, y=4183 with reach=112ft
Router located at x=8650, y=5628 with reach=129ft
Router located at x=4452, y=4816 with reach=158ft
Router located at x=6536, y=7056 with reach=117ft
Router located at x=5196, y=8124 with reach=103ft
Router located at x=4148, y=6408 with reach=89ft
Router located at x=6691, y=2372 with reach=106ft
Router located at x=2194, y=7135 with reach=161ft
Router located at x=7996, y=2925 with reach=139ft
Router located at x=8820, y=7073 with reach=120ft
Router located at x=2578, y=1646 with reach=194ft
Router located at x=246, y=4808 with reach=141ft
Router located at x=3479, y=3632 with reach=64ft
Router located at x=6454, y=3798 with reach=68ft
Router located at x=3769, y=4040 with reach=101ft
Router located at x=7743, y=7578 with reach=142ft
Router located at x=6859, y=5617 with reach=61ft
Router located at x=5687, y=1594 with reach=132ft
Router located at x=6772, y=9540 with reach=93ft
Router located at x=427, y=5208 with reach=61ft
Router located at x=5502, y=5332 with reach=144ft
Router located at x=1650, y=978 with reach=135ft
Router located at x=9766, y=8485 with reach=169ft
Router located at x=8639, y=3911 with reach=152ft
Router located at x=9797, y=2533 with reach=158ft
Router located at x=9292, y=9066 with reach=167ft
Router located at x=3052, y=7106 with reach=73ft
Router located at x=6322, y=8341 with reach=61ft
Router located at x=3951, y=7211 with reach=96ft
Router located at x=2364, y=4029 with reach=156ft
Router located at x=9023, y=9966 with reach=185ft
Router located at x=7467, y=8979 with reach=114ft
Router located at x=3879, y=5027 with reach=120ft
Router located at x=1363, y=7678 with reach=131ft
Router located at x=9204, y=7234 with reach=62ft
Router located at x=3155, y=1461 with reach=94ft
Router located at x=5411, y=7007 with reach=195ft
Router located at x=168, y=8776 with reach=57ft
Router located at x=2937, y=9920 with reach=123ft
Router located at x=6608, y=6639 with reach=72ft
Router located at x=101, y=10 with reach=106ft
Router located at x=2238, y=7307 with reach=85ft
Router located at x=3434, y=323 with reach=84ft
Router located at x=7191, y=6599 with reach=69ft
Router located at x=751, y=5414 with reach=61ft
Router located at x=1118, y=1670 with reach=195ft
Router located at x=2646, y=2713 with reach=87ft
Router located at x=665, y=9219 with reach=186ft
Router located at x=9159, y=4907 with reach=170ft
Router located at x=9271, y=8471 with reach=175ft
Router located at x=5184, y=1510 with reach=132ft
Router located at x=5374, y=3060 with reach=189ft
Router located at x=212, y=4606 with reach=126ft
Router located at x=7775, y=7465 with reach=138ft
Router located at x=9325, y=6130 with reach=180ft
Router located at x=4549, y=1635 with reach=172ft
Router located at x=7780, y=1573 with reach=80ft
Router located at x=9082, y=4875 with reach=131ft
Router located at x=4779, y=3259 with reach=152ft
Router located at x=4515, y=895 with reach=78ft
Router located at x=4394, y=66 with reach=72ft
Router located at x=2608, y=6967 with reach=189ft
Router located at x=897, y=3909 with reach=126ft
Router located at x=2644, y=4246 with reach=91ft
Router located at x=7187, y=1040 with reach=175ft
Router located at x=6148, y=6976 with reach=93ft
Router located at x=3052, y=7407 with reach=57ft
Router located at x=8180, y=5660 with reach=191ft
Router located at x=7242, y=1305 with reach=112ft
Router located at x=8912, y=7343 with reach=192ft
Router located at x=8232, y=416 with reach=132ft
Router located at x=7553, y=3367 with reach=62ft
Router located at x=7118, y=4385 with reach=64ft
Router located at x=6261, y=7869 with reach=56ft
Router located at x=6621, y=2215 with reach=159ft
Router located at x=8572, y=1860 with reach=167ft
Router located at x=1091, y=3780 with reach=115ft
Router located at x=360, y=9281 with reach=133ft
Router located at x=4441, y=3325 with reach=156ft
Router located at x=4978, y=91 with reach=61ft
Router located at x=2943, y=4649 with reach=83ft
Router located at x=3893, y=6877 with reach=116ft
Router located at x=8740, y=5962 with reach=177ft
Router located at x=1031, y=8222 with reach=191ft
Router located at x=8585, y=105 with reach=61ft
Router located at x=8502, y=9327 with reach=188ft
Router located at x=7434, y=5737 with reach=165ft
Router located at x=4897, y=9736 with reach=195ft
Router located at x=5658, y=13 with reach=172ft
Router located at x=9089, y=3382 with reach=188ft
Router located at x=1249, y=1896 with reach=68ft
Router located at x=4765, y=4175 with reach=108ft
Router located at x=4523, y=3331 with reach=198ft
Router located at x=322, y=5993 with reach=194ft
Router located at x=9485, y=8194 with reach=52ft
Router located at x=7998, y=9998 with reach=87ft
Router located at x=8920, y=2168 with reach=181ft
Router located at x=3999, y=2048 with reach=97ft
Router located at x=544, y=2629 with reach=142ft
Router located at x=3640, y=8157 with reach=106ft
Router located at x=1918, y=3850 with reach=52ft
Router located at x=2012, y=9158 with reach=126ft
Router located at x=7054, y=6182 with reach=160ft
Router located at x=4089, y=6963 with reach=184ft
Router located at x=2496, y=1189 with reach=81ft
Router located at x=9371, y=3634 with reach=93ft
Router located at x=3928, y=7784 with reach=76ft
Router located at x=2064, y=7461 with reach=89ft
Router located at x=4274, y=6695 with reach=106ft
Router located at x=848, y=6620 with reach=179ft
Router located at x=9096, y=1268 with reach=71ft
Router located at x=8508, y=3788 with reach=190ft
Router located at x=4330, y=2808 with reach=138ft
Router located at x=2460, y=186 with reach=123ft
Router located at x=2615, y=101 with reach=188ft
Router located at x=3186, y=2999 with reach=115ft
Router located at x=2330, y=6144 with reach=157ft
Router located at x=9400, y=2413 with reach=187ft
Router located at x=4698, y=3245 with reach=142ft
Router located at x=4298, y=6704 with reach=147ft
Router located at x=6827, y=8594 with reach=153ft
Router located at x=8967, y=8792 with reach=131ft
Router located at x=5071, y=9636 with reach=88ft
Router located at x=5095, y=7413 with reach=143ft
Router located at x=5489, y=5885 with reach=62ft
Router located at x=8118, y=8138 with reach=86ft
Router located at x=5726, y=5613 with reach=122ft
Router located at x=2130, y=5296 with reach=90ft
Router located at x=4825, y=2030 with reach=117ft
Router located at x=5497, y=982 with reach=74ft
Router located at x=1231, y=7556 with reach=83ft
Router located at x=5902, y=8278 with reach=86ft
Router located at x=9906, y=4530 with reach=184ft
Router located at x=9149, y=3324 with reach=197ft
Router located at x=8372, y=7254 with reach=64ft
Router located at x=5108, y=4343 with reach=128ft
Router located at x=2181, y=9762 with reach=176ft
Router located at x=7299, y=2786 with reach=147ft
Router located at x=8641, y=9511 with reach=89ft
Router located at x=4318, y=6204 with reach=154ft
Router located at x=620, y=7331 with reach=57ft
Router located at x=5452, y=6072 with reach=176ft
Router located at x=6236, y=399 with reach=163ft
Router located at x=1580, y=9193 with reach=194ft
Router located at x=5525, y=9676 with reach=128ft
Router located at x=6300, y=1231 with reach=61ft
Router located at x=8214, y=9911 with reach=121ft
Router located at x=5010, y=6860 with reach=69ft
Router located at x=7461, y=260 with reach=166ft
Router located at x=8154, y=3466 with reach=195ft
Router located at x=8373, y=2441 with reach=131ft
Router located at x=3449, y=693 with reach=75ft
Router located at x=7451, y=7032 with reach=73ft
Router located at x=2383, y=5497 with reach=87ft
Router located at x=8179, y=3271 with reach=98ft
Router located at x=1071, y=1342 with reach=199ft
Router located at x=6008, y=9912 with reach=57ft
Router located at x=9517, y=8047 with reach=136ft
Router located at x=9560, y=9268 with reach=88ft
Router located at x=530, y=4320 with reach=103ft
Router located at x=269, y=105 with reach=81ft
Router located at x=9510, y=3516 with reach=165ft
Router located at x=2152, y=1266 with reach=186ft
Router located at x=3320, y=3075 with reach=173ft
Router located at x=1591, y=9550 with reach=67ft
Router located at x=3346, y=4616 with reach=152ft
Router located at x=9219, y=8465 with reach=183ft
Router located at x=833, y=8744 with reach=148ft
Router located at x=4846, y=7767 with reach=167ft
Router located at x=5939, y=9748 with reach=112ft
Router located at x=9035, y=8545 with reach=143ft
Router located at x=1392, y=3658 with reach=158ft
Router located at x=941, y=7759 with reach=188ft
Router located at x=3305, y=6516 with reach=134ft
Router located at x=4228, y=2585 with reach=83ft
Router located at x=859, y=5492 with reach=170ft
Router located at x=8781, y=5962 with reach=177ft
Router located at x=7477, y=9847 with reach=79ft
Router located at x=2023, y=9144 with reach=117ft
Router located at x=8810, y=6518 with reach=100ft
Router located at x=3189, y=7161 with reach=183ft
Router located at x=956, y=5517 with reach=96ft
Router located at x=1873, y=5561 with reach=69ft
Router located at x=4980, y=7227 with reach=150ft
Router located at x=6403, y=3239 with reach=197ft
Router located at x=570, y=9339 with reach=53ft
Router located at x=6734, y=8349 with reach=175ft
Router located at x=2458, y=3042 with reach=120ft
Router located at x=9100, y=8820 with reach=92ft
Router located at x=2975, y=9463 with reach=106ft
Router located at x=2052, y=4960 with reach=193ft
Router located at x=5819, y=9205 with reach=135ft
Router located at x=1000, y=8317 with reach=190ft
Router located at x=6079, y=6224 with reach=181ft
Router located at x=7057, y=9932 with reach=98ft
Router located at x=9515, y=6867 with reach=63ft
Router located at x=4690, y=3384 with reach=109ft
Router located at x=5485, y=1433 with reach=184ft
Router located at x=1781, y=2307 with reach=195ft
Router located at x=7296, y=7699 with reach=129ft
Router located at x=1682, y=2590 with reach=93ft
Router located at x=5382, y=7474 with reach=94ft
Router located at x=2230, y=6226 with reach=175ft
Router located at x=5417, y=3109 with reach=184ft
Router located at x=2103, y=1154 with reach=129ft
Router located at x=6093, y=4695 with reach=115ft
Router located at x=4386, y=8891 with reach=87ft
Router located at x=5289, y=1776 with reach=80ft
Router located at x=8585, y=2936 with reach=147ft
Router located at x=1306, y=7200 with reach=183ft
Router located at x=5227, y=4901 with reach=57ft
Router located at x=4077, y=5285 with reach=104ft
Router located at x=5427, y=9502 with reach=111ft
Router located at x=1530, y=4057 with reach=181ft
Router located at x=5568, y=8007 with reach=199ft
Router located at x=1764, y=5819 with reach=80ft
Router located at x=8406, y=3443 with reach=116ft
Router located at x=999, y=3341 with reach=97ft
Router located at x=8801, y=9059 with reach=82ft
Router located at x=4203, y=3439 with reach=62ft
Router located at x=129, y=2296 with reach=74ft
Router located at x=3329, y=1417 with reach=150ft
Router located at x=9358, y=2655 with reach=93ft
Router located at x=3970, y=5696 with reach=69ft
Router located at x=3406, y=8074 with reach=83ft
Router located at x=1665, y=8293 with reach=153ft
Router located at x=6386, y=1263 with reach=119ft
Router located at x=5784, y=2810 with reach=94ft
Router located at x=6165, y=3363 with reach=63ft
Router located at x=2762, y=1253 with reach=165ft
Router located at x=3442, y=8659 with reach=132ft
Router located at x=4772, y=8312 with reach=185ft
Router located at x=2644, y=3120 with reach=70ft
Router located at x=8058, y=293 with reach=67ft
Router located at x=9911, y=6090 with reach=113ft
Router located at x=4564, y=9056 with reach=126ft
Router located at x=2075, y=8203 with reach=50ft
Router located at x=4378, y=8307 with reach=138ft
Router located at x=4991, y=9128 with reach=176ft
Router located at x=377, y=4260 with reach=151ft
Router located at x=1988, y=4431 with reach=135ft
Router located at x=3762, y=3410 with reach=53ft
Router located at x=2194, y=4376 with reach=60ft
Router located at x=1357, y=1022 with reach=141ft
Router located at x=2974, y=3359 with reach=118ft
Router located at x=5892, y=1915 with reach=76ft
Router located at x=9086, y=3394 with reach=127ft
Router located at x=5641, y=6711 with reach=177ft
Router located at x=6498, y=3701 with reach=54ft
Router located at x=3389, y=1114 with reach=55ft
Router located at x=8978, y=9124 with reach=189ft
Router located at x=5827, y=6549 with reach=78ft
Router located at x=3672, y=2458 with reach=187ft
Router located at x=1611, y=2980 with reach=109ft
Router located at x=7885, y=948 with reach=82ft
Router located at x=5074, y=1365 with reach=61ft
Router located at x=3431, y=1725 with reach=103ft
Router located at x=9898, y=4862 with reach=90ft
Router located at x=9471, y=906 with reach=130ft
Router located at x=188, y=6497 with reach=135ft
Router located at x=340, y=2552 with reach=146ft
Router located at x=3527, y=6661 with reach=71ft
Router located at x=3689, y=5057 with reach=69ft
Router located at x=8425, y=3591 with reach=139ft
Router located at x=3069, y=178 with reach=153ft
Router located at x=8762, y=6333 with reach=160ft
Router located at x=9085, y=6226 with reach=73ft
Router located at x=9654, y=6851 with reach=122ft
Router located at x=2295, y=1538 with reach=185ft
Router located at x=4102, y=7004 with reach=116ft
Router located at x=5852, y=4901 with reach=95ft
Router located at x=4705, y=786 with reach=188ft
Router located at x=5518, y=7001 with reach=50ft
Router located at x=2463, y=1474 with reach=196ft
Router located at x=3187, y=8906 with reach=158ft
Router located at x=8146, y=2172 with reach=187ft
Router located at x=1274, y=2386 with reach=87ft
Router located at x=5396, y=992 with reach=194ft
Router located at x=9698, y=6252 with reach=76ft
Router located at x=5954, y=9506 with reach=187ft
Router located at x=1351, y=3882 with reach=121ft
Router located at x=2637, y=7776 with reach=158ft
Router located at x=493, y=9497 with reach=117ft
Router located at x=7951, y=6236 with reach=67ft
Router located at x=2530, y=2841 with reach=170ft
Router located at x=4212, y=1546 with reach=81ft
Router located at x=6822, y=6183 with reach=112ft
Router located at x=7505, y=6727 with reach=141ft
Router located at x=5967, y=3962 with reach=96ft
Router located at x=6556, y=7704 with reach=67ft
Router located at x=6706, y=7812 with reach=67ft
Router located at x=9277, y=3153 with reach=131ft
Router located at x=6583, y=728 with reach=186ft
Router located at x=7515, y=873 with reach=132ft
Router located at x=5384, y=7940 with reach=154ft
Router located at x=5228, y=7046 with reach=178ft
Router located at x=3886, y=6735 with reach=135ft
Router located at x=7884, y=4524 with reach=105ft
Router located at x=1733, y=8596 with reach=189ft
Router located at x=2572, y=5375 with reach=199ft
Router located at x=5399, y=7225 with reach=114ft
Router located at x=4819, y=5100 with reach=142ft
Router located at x=4144, y=8600 with reach=94ft
Router located at x=2643, y=8548 with reach=164ft
Router located at x=8848, y=9138 with reach=110ft
Router located at x=7542, y=5918 with reach=185ft
Router located at x=8002, y=2017 with reach=145ft
Router located at x=8806, y=3703 with reach=78ft
Router located at x=1217, y=8496 with reach=108ft
Router located at x=992, y=3426 with reach=140ft
Router located at x=1415, y=224 with reach=136ft
Router located at x=9900, y=3314 with reach=99ft
Router located at x=5507, y=2517 with reach=185ft
Router located at x=4229, y=110 with reach=144ft
Router located at x=1638, y=2012 with reach=76ft
Router located at x=8997, y=3566 with reach=163ft
Router located at x=7287, y=2160 with reach=157ft
Router located at x=4823, y=7439 with reach=86ft
Router located at x=3847, y=8304 with reach=132ft
Router located at x=9272, y=484 with reach=186ft
Router located at x=8331, y=8359 with reach=147ft
Router located at x=6486, y=717 with reach=125ft
Router located at x=1185, y=1834 with reach=101ft
Router located at x=1925, y=1245 with reach=153ft
Router located at x=1333, y=4552 with reach=65ft
Router located at x=3301, y=9202 with reach=99ft
Router located at x=7076, y=9009 with reach=171ft
Router located at x=9740, y=8094 with reach=140ft
Router located at x=5771, y=2179 with reach=125ft
Router located at x=4033, y=6384 with reach=191ft
Router located at x=8976, y=2674 with reach=182ft
Router located at x=7328, y=6597 with reach=136ft
Router located at x=9331, y=9689 with reach=63ft
Router located at x=8002, y=9402 with reach=92ft
Router located at x=9587, y=6058 with reach=200ft
Router located at x=2363, y=1066 with reach=146ft
Router located at x=593, y=8992 with reach=118ft
Router located at x=1313, y=7777 with reach=195ft
Router located at x=1159, y=1679 with reach=83ft
Router located at x=3096, y=7087 with reach=71ft
Router located at x=8724, y=3980 with reach=104ft
Router located at x=7332, y=1011 with reach=90ft
Router located at x=3410, y=9060 with reach=51ft
Router located at x=3182, y=805 with reach=151ft
Router located at x=4172, y=8242 with reach=164ft
Router located at x=4769, y=4647 with reach=159ft
Router located at x=8720, y=9389 with reach=129ft
Router located at x=3413, y=5971 with reach=176ft
Router located at x=5790, y=1485 with reach=101ft
Router located at x=6269, y=5266 with reach=166ft
Router located at x=5989, y=7837 with reach=145ft
Router located at x=5167, y=4875 with reach=155ft
Router located at x=7433, y=9444 with reach=66ft
Router located at x=4234, y=9870 with reach=157ft
Router located at x=4596, y=7751 with reach=89ft
Router located at x=5200, y=1168 with reach=174ft
Router located at x=1329, y=6393 with reach=130ft
Router located at x=2676, y=1586 with reach=148ft
Router located at x=776, y=382 with reach=154ft
Router located at x=8607, y=9645 with reach=57ft
Router located at x=3446, y=6573 with reach=138ft
Router located at x=8205, y=454 with reach=86ft
Router located at x=2146, y=8649 with reach=86ft
Router located at x=4069, y=3623 with reach=97ft
Router located at x=3507, y=512 with reach=73ft
Router located at x=7467, y=8478 with reach=189ft
Router located at x=3854, y=9210 with reach=189ft
Router located at x=2471, y=9635 with reach=54ft
Router located at x=609, y=3866 with reach=146ft
Router located at x=6514, y=1753 with reach=113ft
Router located at x=6346, y=6796 with reach=120ft
Router located at x=3497, y=3426 with reach=167ft
Router located at x=440, y=8474 with reach=132ft
Router located at x=4691, y=4075 with reach=189ft
Router located at x=454, y=8748 with reach=55ft
Router located at x=7543, y=9966 with reach=101ft
Router located at x=5128, y=5077 with reach=127ft
Router located at x=285, y=8999 with reach=53ft
Router located at x=6972, y=5607 with reach=77ft
Router located at x=5860, y=3976 with reach=54ft
Router located at x=5260, y=1633 with reach=171ft
Router located at x=1181, y=7215 with reach=200ft
Router located at x=2680, y=7947 with reach=182ft
Router located at x=7774, y=9466 with reach=124ft
Router located at x=1861, y=1156 with reach=96ft
Router located at x=9946, y=9409 with reach=189ft
Router located at x=3951, y=818 with reach=167ft
Router located at x=4383, y=9218 with reach=156ft
Router located at x=2639, y=4149 with reach=160ft
Router located at x=2734, y=3427 with reach=103ft
Router located at x=6290, y=4329 with reach=196ft
Router located at x=1029, y=1324 with reach=80ft
Router located at x=9381, y=1186 with reach=91ft
Router located at x=7581, y=3580 with reach=54ft
Router located at x=8338, y=4397 with reach=173ft
Router located at x=8018, y=5193 with reach=98ft
Router located at x=690, y=9741 with reach=96ft
Router located at x=6513, y=8150 with reach=146ft
Router located at x=9581, y=2136 with reach=73ft
Router located at x=3045, y=9492 with reach=110ft
Router located at x=8573, y=1252 with reach=167ft
Router located at x=7143, y=1501 with reach=118ft
Router located at x=9777, y=7766 with reach=61ft
Router located at x=2082, y=4643 with reach=109ft
Router located at x=5676, y=1772 with reach=170ft
Router located at x=3090, y=9658 with reach=194ft
Router located at x=9982, y=4629 with reach=148ft
Router located at x=4187, y=5156 with reach=183ft
Router located at x=255, y=6034 with reach=151ft
