Router located at x=6311, y=6890 with reach=60ft
Router located at x=63, y=4748 with reach=51ft
Router located at x=2300, y=1043 with reach=159ft
Router located at x=3639, y=9971 with reach=151ft
Router located at x=9138, y=3620 with reach=166ft
Router located at x=3159, y=5562 with reach=76ft
Router located at x=9934, y=1402 with reach=131ft
Router located at x=5290, y=8780 with reach=166ft
Router located at x=5327, y=4186 with reach=57ft
Router located at x=8552, y=726 with reach=98ft
Router located at x=6040, y=1312 with reach=103ft
Router located at x=8593, y=5664 with reach=98ft
Router located at x=3303, y=4116 with reach=127ft
Router located at x=5115, y=8468 with reach=148ft
Router located at x=4172, y=7898 with reach=138ft
Router located at x=3931, y=729 with reach=128ft
Router located at x=9043, y=1185 with reach=52ft
Router located at x=7551, y=8115 with reach=162ft
Router located at x=777, y=6752 with reach=176ft
Router located at x=7545, y=7210 with reach=80ft
Router located at x=1402, y=1334 with reach=111ft
Router located at x=1617, y=2519 with reach=155ft
Router located at x=3497, y=7219 with reach=69ft
Router located at x=6994, y=9158 with reach=150ft
Router located at x=644, y=2955 with reach=113ft
Router located at x=8028, y=3605 with reach=82ft
Router located at x=4571, y=5768 with reach=131ft
Router located at x=7124, y=1757 with reach=192ft
Router located at x=4677, y=9995 with reach=188ft
Router located at x=3296, y=4860 with reach=163ft
Router located at x=8421, y=9906 with reach=168ft
Router located at x=8784, y=4276 with reach=119ft
Router located at x=3797, y=271 with reach=80ft
Router located at x=1620, y=2827 with reach=156ft
Router located at x=4075, y=3572 with reach=122ft
Router located at x=105, y=8774 with reach=181ft
Router located at x=7016, y=815 with reach=81ft
Router located at x=6302, y=4464 with reach=80ft
Router located at x=9251, y=5880 with reach=108ft
Router located at x=8956, y=4623 with reach=106ft
Router located at x=3934, y=1061 with reach=182ft
Router located at x=5038, y=5362 with reach=109ft
Router located at x=6114, y=7868 with reach=123ft
Router located at x=9536, y=2807 with reach=85ft
Router located at x=253, y=9062 with reach=179ft
Router located at x=5372, y=6012 with reach=199ft
Router located at x=414, y=2127 with reach=151ft
Router located at x=2543, y=2896 with reach=180ft
Router located at x=1252, y=2221 with reach=102ft
Router located at x=8138, y=9330 with reach=104ft
Router located at x=3855, y=2164 with reach=109ft
Router located at x=6301, y=5791 with reach=83ft
Router located at x=8166, y=1769 with reach=56ft
Router located at x=8625, y=9766 with reach=141ft
Router located at x=8015, y=7464 with reach=129ft
Router located at x=207, y=3605 with reach=192ft
Router located at x=2671, y=8105 with reach=173ft
Router located at x=8946, y=5143 with reach=70ft
Router located at x=4246, y=2251 with reach=152ft
Router located at x=3130, y=5184 with reach=124ft
Router located at x=6292, y=969 with reach=103ft
Router located at x=627, y=5163 with reach=113ft
Router located at x=5622, y=7228 with reach=107ft
Router located at x=4261, y=5638 with reach=91ft
Router located at x=4995, y=278 with reach=141ft
Router located at x=9397, y=8839 with reach=64ft
Router located at x=2477, y=5790 with reach=55ft
Router located at x=8046, y=1004 with reach=56ft
Router located at x=3956, y=736 with reach=53ft
Router located at x=3699, y=5352 with reach=67ft
Router located at x=1022, y=5651 with reach=158ft
Router located at x=2225, y=3547 with reach=164ft
Router located at x=7130, y=2327 with reach=141ft
Router located at x=5111, y=2898 with reach=134ft
Router located at x=6695, y=6269 with reach=52ft
Router located at x=6705, y=4321 with reach=186ft
Router located at x=8705, y=7580 with reach=60ft
Router located at x=9252, y=2008 with reach=154ft
Router located at x=6394, y=2806 with reach=50ft
Router located at x=8201, y=2264 with reach=181ft
Router located at x=2427, y=1304 with reach=134ft
Router located at x=3889, y=2888 with reach=113ft
Router located at x=360, y=2766 with reach=193ft
Router located at x=2757, y=1285 with reach=159ft
Router located at x=9795, y=1698 with reach=167ft
Router located at x=2458, y=9862 with reach=60ft
Router located at x=4136, y=5574 with reach=146ft
Router located at x=446, y=595 with reach=177ft
Router located at x=1468, y=5871 with reach=124ft
Router located at x=2470, y=7505 with reach=110ft
Router located at x=8313, y=5829 with reach=91ft
Router located at x=6630, y=5531 with reach=119ft
Router located at x=8066, y=6432 with reach=53ft
Router located at x=5091, y=8689 with reach=123ft
Router located at x=9018, y=7682 with reach=58ft
Router located at x=8712, y=9347 with reach=191ft
Router located at x=4299, y=627 with reach=166ft
Router located at x=6472, y=1966 with reach=153ft
Router located at x=5678, y=8126 with reach=63ft
Router located at x=338, y=4473 with reach=58ft
Router located at x=4160, y=9535 with reach=124ft
Router located at x=3393, y=8671 with reach=182ft
Router located at x=5575, y=6325 with reach=114ft
Router located at x=3423, y=1900 with reach=194ft
Router located at x=5397, y=3975 with reach=200ft
Router located at x=8729, y=5789 with reach=91ft
Router located at x=2507, y=5417 with reach=52ft
Router located at x=9583, y=839 with reach=194ft
Router located at x=2558, y=5645 with reach=142ft
Router located at x=4770, y=4807 with reach=132ft
Router located at x=8107, y=6613 with reach=160ft
Router located at x=2785, y=16 with reach=86ft
Router located at x=9315, y=714 with reach=163ft
Router located at x=2061, y=5592 with reach=52ft
Router located at x=7871, y=4220 with reach=98ft
Router located at x=1150, y=8992 with reach=158ft
Router located at x=4566, y=2848 with reach=185ft
Router located at x=2782, y=1036 with reach=90ft
Router located at x=9497, y=1803 with reach=179ft
Router located at x=8903, y=9913 with reach=148ft
Router located at x=7121, y=4354 with reach=129ft
Router located at x=4668, y=223 with reach=159ft
Router located at x=4594, y=4230 with reach=187ft
Router located at x=8638, y=9085 with reach=131ft
Router located at x=5607, y=3112 with reach=160ft
Router located at x=2321, y=97 with reach=180ft
Router located at x=2544, y=9228 with reach=148ft
Router located at x=5913, y=7604 with reach=59ft
Router located at x=9201, y=6744 with reach=108ft
Router located at x=257, y=5934 with reach=185ft
Router located at x=2597, y=3186 with reach=140ft
Router located at x=8142, y=313 with reach=113ft
Router located at x=9364, y=3966 with reach=120ft
Router located at x=3033, y=6880 with reach=69ft
Router located at x=9390, y=7342 with reach=110ft
Router located at x=7367, y=8337 with reach=75ft
Router located at x=3084, y=2694 with reach=162ft
Router located at x=1068, y=6991 with reach=151ft
Router located at x=4454, y=4140 with reach=161ft
Router located at x=5835, y=9989 with reach=133ft
Router located at x=1484, y=5030 with reach=57ft
Router located at x=8069, y=179 with reach=114ft
Router located at x=3322, y=6519 with reach=148ft
Router located at x=7137, y=6377 with reach=59ft
Router located at x=9546, y=7623 with reach=140ft
Router located at x=9319, y=2077 with reach=194ft
Router located at x=4560, y=5375 with reach=56ft
Router located at x=6522, y=7761 with reach=183ft
Router located at x=2217, y=681 with reach=70ft
Router located at x=9272, y=5692 with reach=142ft
Router located at x=73, y=1136 with reach=98ft
Router located at x=1815, y=8857 with reach=170ft
Router located at x=706, y=5153 with reach=56ft
Router located at x=5157, y=6433 with reach=82ft
Router located at x=4506, y=6658 with reach=86ft
Router located at x=9759, y=2416 with reach=153ft
Router located at x=5015, y=8380 with reach=65ft
Router located at x=2669, y=2054 with reach=84ft
Router located at x=7878, y=765 with reach=183ft
Router located at x=712, y=9092 with reach=149ft
Router located at x=2952, y=5647 with reach=199ft
Router located at x=1356, y=1322 with reach=193ft
Router located at x=2857, y=4351 with reach=101ft
Router located at x=4275, y=5372 with reach=114ft
Router located at x=4247, y=8477 with reach=166ft
Router located at x=2542, y=7353 with reach=191ft
Router located at x=2503, y=632 with reach=199ft
Router located at x=2899, y=8392 with reach=58ft
Router located at x=5178, y=1173 with reach=99ft
Router located at x=7480, y=3911 with reach=167ft
Router located at x=8556, y=2611 with reach=135ft
Router located at x=2209, y=7806 with reach=192ft
Router located at x=936, y=8903 with reach=71ft
Router located at x=8481, y=5625 with reach=50ft
Router located at x=1310, y=1703 with reach=159ft
Router located at x=9953, y=5772 with reach=195ft
Router located at x=7398, y=5501 with reach=146ft
Router located at x=8395, y=5931 with reach=80ft
Router located at x=2230, y=5191 with reach=55ft
Router located at x=2991, y=2049 with reach=54ft
Router located at x=5535, y=9952 with reach=99ft
Router located at x=723, y=6780 with reach=65ft
Router located at x=5099, y=6381 with reach=63ft
Router located at x=9837, y=2755 with reach=141ft
Router located at x=1268, y=6688 with reach=63ft
Router located at x=7220, y=5815 with reach=115ft
Router located at x=5074, y=9219 with reach=166ft
Router located at x=6753, y=2960 with reach=57ft
Router located at x=7433, y=4327 with reach=98ft
Router located at x=6351, y=1050 with reach=141ft
Router located at x=1577, y=2021 with reach=56ft
Router located at x=5747, y=349 with reach=95ft
Router located at x=6615, y=223 with reach=132ft
Router located at x=7478, y=9077 with reach=176ft
Router located at x=7807, y=1318 with reach=63ft
Router located at x=8775, y=6585 with reach=117ft
Router located at x=455, y=8451 with reach=74ft
Router located at x=1312, y=5465 with reach=141ft
Router located at x=1613, y=7723 with reach=58ft
Router located at x=2527, y=8463 with reach=123ft
Router located at x=602, y=11 with reach=146ft
Router located at x=5532, y=2570 with reach=190ft
Router located at x=2406, y=2630 with reach=94ft
Router located at x=2604, y=3974 with reach=134ft
Router located at x=390, y=7912 with reach=151ft
Router located at x=723, y=3709 with reach=111ft
Router located at x=4613, y=5383 with reach=93ft
Router located at x=3902, y=5768 with reach=107ft
Router located at x=2680, y=6893 with reach=168ft
Router located at x=5952, y=9263 with reach=85ft
Router located at x=6332, y=9255 with reach=53ft
Router located at x=2656, y=9562 with reach=51ft
Router located at x=6388, y=2817 with reach=88ft
Router located at x=319, y=412 with reach=132ft
Router located at x=8357, y=60 with reach=59ft
Router located at x=773, y=1833 with reach=196ft
Router located at x=2419, y=2509 with reach=147ft
Router located at x=433, y=6860 with reach=161ft
Router located at x=9306, y=5454 with reach=113ft
Router located at x=2258, y=5964 with reach=180ft
Router located at x=3549, y=8738 with reach=152ft
Router located at x=1196, y=2126 with reach=154ft
Router located at x=9275, y=5744 with reach=74ft
Router located at x=7070, y=7144 with reach=112ft
Router located at x=7719, y=6254 with reach=107ft
Router located at x=6469, y=3933 with reach=173ft
Router located at x=6505, y=9525 with reach=67ft
Router located at x=4134, y=4519 with reach=184ft
Router located at x=6091, y=8885 with reach=55ft
Router located at x=9896, y=7775 with reach=110ft
Router located at x=4526, y=660 with reach=132ft
Router located at x=6402, y=1747 with reach=186ft
Router located at x=798, y=2362 with reach=150ft
Router located at x=439, y=6898 with reach=150ft
Router located at x=7093, y=1717 with reach=167ft
Router located at x=9898, y=7569 with reach=91ft
Router located at x=2778, y=5578 with reach=171ft
Router located at x=6735, y=2605 with reach=122ft
Router located at x=8250, y=1843 with reach=144ft
Router located at x=5659, y=2337 with reach=141ft
Router located at x=7744, y=8498 with reach=63ft
Router located at x=3206, y=4221 with reach=95ft
Router located at x=9563, y=5319 with reach=125ft
Router located at x=6227, y=679 with reach=124ft
Router located at x=9034, y=7064 with reach=58ft
Router located at x=6726, y=4408 with reach=146ft
Router located at x=3410, y=5683 with reach=84ft
Router located at x=2165, y=1807 with reach=141ft
Router located at x=2715, y=511 with reach=160ft
Router located at x=9448, y=6527 with reach=168ft
Router located at x=1247, y=1275 with reach=158ft
Router located at x=8927, y=9075 with reach=85ft
Router located at x=2772, y=2506 with reach=103ft
Router located at x=2694, y=3739 with reach=57ft
Router located at x=8606, y=2220 with reach=176ft
Router located at x=5848, y=4719 with reach=135ft
Router located at x=1941, y=6698 with reach=117ft
Router located at x=2593, y=5611 with reach=178ft
Router located at x=5436, y=8734 with reach=87ft
Router located at x=6162, y=9100 with reach=128ft
Router located at x=3842, y=6202 with reach=138ft
Router located at x=6394, y=7721 with reach=180ft
Router located at x=5016, y=6719 with reach=154ft
Router located at x=1600, y=2523 with reach=87ft
Router located at x=80, y=9559 with reach=182ft
Router located at x=1750, y=3357 with reach=181ft
Router located at x=1821, y=4369 with reach=93ft
Router located at x=6158, y=1398 with reach=59ft
Router located at x=171, y=1890 with reach=142ft
Router located at x=7875, y=5215 with reach=77ft
Router located at x=7415, y=6047 with reach=199ft
Router located at x=4159, y=7971 with reach=108ft
Router located at x=2605, y=9201 with reach=191ft
Router located at x=1276, y=8322 with reach=93ft
Router located at x=422, y=2733 with reach=182ft
Router located at x=6699, y=9965 with reach=103ft
Router located at x=7179, y=6635 with reach=117ft
Router located at x=346, y=9624 with reach=84ft
Router located at x=6360, y=2807 with reach=162ft
Router located at x=9256, y=879 with reach=146ft
Router located at x=1422, y=9637 with reach=153ft
Router located at x=5480, y=3819 with reach=179ft
Router located at x=7463, y=640 with reach=172ft
Router located at x=1667, y=4402 with reach=179ft
Router located at x=8032, y=9024 with reach=150ft
Router located at x=7744, y=4346 with reach=96ft
Router located at x=3764, y=8863 with reach=143ft
Router located at x=2613, y=4955 with reach=86ft
Router located at x=7486, y=1127 with reach=67ft
Router located at x=7833, y=6442 with reach=194ft
Router located at x=6717, y=9111 with reach=73ft
Router located at x=4350, y=7901 with reach=108ft
Router located at x=1816, y=4861 with reach=86ft
Router located at x=5889, y=1542 with reach=85ft
Router located at x=929, y=2241 with reach=200ft
Router located at x=9154, y=3252 with reach=51ft
Router located at x=541, y=6624 with reach=192ft
Router located at x=9858, y=8033 with reach=77ft
Router located at x=7749, y=9167 with reach=138ft
Router located at x=5620, y=1597 with reach=51ft
Router located at x=3959, y=3713 with reach=177ft
Router located at x=5103, y=4496 with reach=107ft
Router located at x=146, y=8120 with reach=140ft
Router located at x=8339, y=5584 with reach=73ft
Router located at x=1269, y=4993 with reach=196ft
Router located at x=6918, y=3706 with reach=144ft
Router located at x=6244, y=2383 with reach=109ft
Router located at x=4716, y=3265 with reach=173ft
Router located at x=5884, y=4635 with reach=148ft
Router located at x=2119, y=1957 with reach=152ft
Router located at x=5817, y=8196 with reach=170ft
Router located at x=3746, y=6126 with reach=141ft
Router located at x=7076, y=4545 with reach=141ft
Router located at x=6567, y=4638 with reach=76ft
Router located at x=7859, y=4773 with reach=80ft
Router located at x=7307, y=2527 with reach=138ft
Router located at x=3990, y=3062 with reach=136ft
Router located at x=8180, y=3746 with reach=78ft
Router located at x=6289, y=6368 with reach=168ft
Router located at x=8413, y=7565 with reach=194ft
Router located at x=3615, y=6541 with reach=178ft
Router located at x=5098, y=7973 with reach=109ft
Router located at x=5153, y=8485 with reach=50ft
Router located at x=1505, y=7729 with reach=131ft
Router located at x=6459, y=3725 with reach=160ft
Router located at x=796, y=9427 with reach=60ft
Router located at x=6660, y=1531 with reach=117ft
Router located at x=3281, y=5354 with reach=95ft
Router located at x=1853, y=2962 with reach=143ft
Router located at x=463, y=3829 with reach=61ft
Router located at x=132, y=6269 with reach=186ft
Router located at x=73, y=2124 with reach=79ft
Router located at x=9906, y=9926 with reach=101ft
Router located at x=1336, y=7636 with reach=100ft
Router located at x=24, y=8523 with reach=156ft
Router located at x=1094, y=8797 with reach=95ft
Router located at x=3838, y=3718 with reach=156ft
Router located at x=6257, y=7777 with reach=50ft
Router located at x=7140, y=3442 with reach=147ft
Router located at x=674, y=4412 with reach=57ft
Router located at x=9548, y=5686 with reach=144ft
Router located at x=5526, y=7436 with reach=84ft
Router located at x=9763, y=8471 with reach=73ft
Router located at x=4124, y=1691 with reach=76ft
Router located at x=4470, y=395 with reach=86ft
Router located at x=2226, y=6208 with reach=103ft
Router located at x=9390, y=5235 with reach=101ft
Router located at x=6900, y=8323 with reach=178ft
Router located at x=1971, y=9168 with reach=77ft
Router located at x=7776, y=2040 with reach=180ft
Router located at x=7334, y=7697 with reach=95ft
